"Time (ps)", "Coul-SR:Water-LIG", "LJ-SR:Water-LIG", "Coul-14:Water-LIG", "LJ-14:Water-LIG", "Coul-SR:LIG-LIG", "LJ-SR:LIG-LIG", "Coul-14:LIG-LIG", "LJ-14:LIG-LIG"
57.000000, -123.187386, -116.495552, 0.000000, 0.000000, -80.256058, -15.567698, -140.186310, 49.144882
58.000000, -106.768669, -112.455452, 0.000000, 0.000000, -75.554657, -18.181700, -141.172516, 42.688831
59.000000, -126.332161, -100.647316, 0.000000, 0.000000, -82.483696, -14.782035, -132.275696, 46.821243
60.000000, -147.803864, -102.504410, 0.000000, 0.000000, -76.459656, -17.378077, -140.587341, 46.415245
61.000000, -123.823776, -99.621208, 0.000000, 0.000000, -80.869659, -13.966722, -145.009567, 48.646542
62.000000, -108.126678, -97.604538, 0.000000, 0.000000, -77.370270, -17.584105, -141.337219, 47.301723
63.000000, -141.024704, -103.688179, 0.000000, 0.000000, -81.157974, -6.192103, -135.753143, 47.002159
64.000000, -154.231171, -85.867737, 0.000000, 0.000000, -89.004753, -11.958594, -132.956650, 48.665318
65.000000, -101.426414, -96.005104, 0.000000, 0.000000, -73.531464, -20.729761, -150.698990, 44.199593
66.000000, -119.534981, -98.969048, 0.000000, 0.000000, -87.717758, -4.231479, -137.247208, 54.980137
67.000000, -114.423508, -106.014717, 0.000000, 0.000000, -85.708000, -9.219342, -134.775681, 46.523300
68.000000, -111.269974, -102.535187, 0.000000, 0.000000, -87.188148, -16.135452, -137.678101, 43.288460
69.000000, -117.868599, -99.422600, 0.000000, 0.000000, -79.242630, -10.081848, -139.236572, 50.326111
70.000000, -122.441612, -94.959587, 0.000000, 0.000000, -76.291893, -18.517590, -149.106522, 43.791714
71.000000, -108.168976, -121.914909, 0.000000, 0.000000, -74.128601, -12.768597, -147.269135, 55.221371
72.000000, -105.448936, -104.961609, 0.000000, 0.000000, -84.145027, -12.974592, -139.847992, 49.055309
73.000000, -103.581932, -105.498016, 0.000000, 0.000000, -88.574501, -12.693215, -136.046051, 42.827175
74.000000, -103.224976, -113.187828, 0.000000, 0.000000, -74.041252, -16.595816, -147.458862, 47.645775
75.000000, -84.496124, -104.002121, 0.000000, 0.000000, -79.905113, -18.889032, -147.056290, 48.621723
76.000000, -100.562492, -100.468056, 0.000000, 0.000000, -69.751526, -14.694819, -145.851318, 45.051559
77.000000, -100.188911, -105.597008, 0.000000, 0.000000, -82.645180, -13.284742, -139.614120, 42.443504
78.000000, -173.458694, -88.125443, 0.000000, 0.000000, -76.877037, -14.657141, -140.411957, 44.765480
79.000000, -119.969673, -107.571815, 0.000000, 0.000000, -86.113182, -18.756674, -133.554825, 42.260830
80.000000, -123.431976, -105.255318, 0.000000, 0.000000, -80.559402, -20.016520, -145.321320, 45.607918
81.000000, -114.473549, -107.358437, 0.000000, 0.000000, -80.377686, -19.511618, -140.857803, 45.967365
82.000000, -110.508316, -92.276123, 0.000000, 0.000000, -79.820953, -15.344519, -139.290314, 43.307381
83.000000, -108.047188, -97.932739, 0.000000, 0.000000, -84.590401, -8.055156, -137.535065, 47.564800
84.000000, -134.996368, -108.937485, 0.000000, 0.000000, -80.597549, -14.829098, -140.297501, 45.179878
85.000000, -151.304291, -93.841469, 0.000000, 0.000000, -74.564636, -11.082710, -140.987839, 52.560547
86.000000, -121.391060, -91.557068, 0.000000, 0.000000, -77.476128, -11.286159, -141.701706, 45.669834
87.000000, -99.212608, -112.667938, 0.000000, 0.000000, -79.969025, -15.108415, -138.570282, 39.817566
88.000000, -114.344452, -122.154961, 0.000000, 0.000000, -77.769722, -9.465354, -140.911133, 52.354733
89.000000, -142.336227, -86.093689, 0.000000, 0.000000, -76.064606, -14.947875, -146.574005, 46.381325
90.000000, -132.946716, -68.958534, 0.000000, 0.000000, -70.323563, -11.734166, -149.086655, 43.073059
91.000000, -95.712219, -103.422737, 0.000000, 0.000000, -80.452576, -9.674679, -138.543060, 47.356823
92.000000, -104.299561, -102.573799, 0.000000, 0.000000, -84.104752, -19.122486, -136.397247, 42.224327
93.000000, -130.939865, -96.015610, 0.000000, 0.000000, -84.856300, -12.635668, -134.893600, 46.944847
94.000000, -90.787735, -124.297279, 0.000000, 0.000000, -81.963867, -12.280647, -137.606644, 44.821804
95.000000, -150.996185, -100.319145, 0.000000, 0.000000, -78.275673, -16.745140, -139.939453, 42.956226
96.000000, -125.905556, -109.116341, 0.000000, 0.000000, -86.933418, -17.630442, -134.494644, 41.749443
97.000000, -124.044861, -85.552948, 0.000000, 0.000000, -76.939499, -13.021174, -142.442886, 48.922382
98.000000, -145.584244, -82.910805, 0.000000, 0.000000, -81.384888, -16.359411, -144.841583, 49.453209
99.000000, -116.369843, -108.759171, 0.000000, 0.000000, -78.466881, -9.550876, -140.898056, 51.224400
100.000000, -109.354576, -99.113571, 0.000000, 0.000000, -77.422836, -12.154996, -139.134277, 48.709202
101.000000, -113.032219, -106.692116, 0.000000, 0.000000, -88.528671, -12.317988, -138.234680, 46.163456
102.000000, -94.404327, -106.415237, 0.000000, 0.000000, -89.731369, -17.489035, -132.181412, 42.231541
103.000000, -133.665527, -96.189438, 0.000000, 0.000000, -76.419334, -13.536629, -147.316467, 48.297516
104.000000, -115.487488, -116.731705, 0.000000, 0.000000, -85.795380, -13.310035, -136.155640, 45.222881
105.000000, -139.421249, -97.538628, 0.000000, 0.000000, -78.944443, -16.969593, -137.969498, 40.952705
106.000000, -137.096527, -118.093437, 0.000000, 0.000000, -79.525803, -12.986051, -144.005096, 44.300983
