"Time (ps)", "Coul-SR:Water_and_ions-LIG", "LJ-SR:Water_and_ions-LIG", "Coul-14:Water_and_ions-LIG", "LJ-14:Water_and_ions-LIG", "Coul-SR:LIG-LIG", "LJ-SR:LIG-LIG", "Coul-14:LIG-LIG", "LJ-14:LIG-LIG"
57.000000, -281.359894, -172.781204, 0.000000, 0.000000, 277.647888, -37.472870, -639.291931, 98.578476
58.000000, -287.768188, -195.822662, 0.000000, 0.000000, 284.880188, -20.666252, -651.620483, 102.306717
59.000000, -327.413300, -171.230331, 0.000000, 0.000000, 289.546906, -42.636848, -648.352966, 95.320999
60.000000, -296.086639, -171.669083, 0.000000, 0.000000, 289.123383, -30.640465, -657.649780, 104.110077
61.000000, -296.910522, -192.536957, 0.000000, 0.000000, 286.886536, -26.928518, -650.214539, 105.958046
62.000000, -302.655243, -188.054306, 0.000000, 0.000000, 294.705444, -13.331119, -650.300293, 105.492477
63.000000, -261.694641, -195.163559, 0.000000, 0.000000, 291.827881, -38.683926, -658.710388, 112.275650
64.000000, -296.775665, -185.572906, 0.000000, 0.000000, 292.735413, -27.682270, -655.853516, 103.642799
65.000000, -328.786438, -179.985001, 0.000000, 0.000000, 286.789124, -35.650780, -643.951660, 94.179222
66.000000, -349.746643, -184.890442, 0.000000, 0.000000, 291.894104, -3.487869, -655.922607, 104.012276
67.000000, -320.842499, -175.342163, 0.000000, 0.000000, 288.509827, -41.830898, -657.097961, 94.831055
68.000000, -307.594849, -200.428604, 0.000000, 0.000000, 296.535156, -22.237577, -657.424011, 103.087585
69.000000, -309.773285, -189.565338, 0.000000, 0.000000, 302.324341, -28.307159, -662.943420, 106.731140
70.000000, -284.865631, -195.968292, 0.000000, 0.000000, 292.936951, -30.799433, -657.353455, 104.336288
71.000000, -314.481903, -206.152802, 0.000000, 0.000000, 287.620300, -35.085846, -652.398743, 102.786064
72.000000, -297.342621, -196.009201, 0.000000, 0.000000, 303.390320, -27.891531, -661.834717, 101.920425
73.000000, -326.182343, -197.949005, 0.000000, 0.000000, 291.428558, -26.948948, -646.276855, 103.428497
74.000000, -304.792694, -188.028305, 0.000000, 0.000000, 291.240082, -46.529152, -652.687500, 100.551308
75.000000, -247.394974, -194.129715, 0.000000, 0.000000, 289.369080, -38.894173, -655.235229, 95.046257
76.000000, -262.576965, -206.813721, 0.000000, 0.000000, 284.617279, -35.909817, -644.027527, 94.431122
77.000000, -313.227783, -194.560852, 0.000000, 0.000000, 286.968658, -39.753166, -653.494446, 100.032814
78.000000, -284.973816, -214.512848, 0.000000, 0.000000, 300.694458, -30.701435, -659.481079, 95.569794
79.000000, -265.898773, -185.910248, 0.000000, 0.000000, 290.697144, -36.485054, -653.770569, 103.106323
80.000000, -251.143066, -205.012405, 0.000000, 0.000000, 279.566071, -37.584835, -646.486084, 98.558319
81.000000, -263.448944, -190.940979, 0.000000, 0.000000, 283.613617, -29.083462, -648.250977, 102.690201
82.000000, -300.552612, -207.279266, 0.000000, 0.000000, 281.833740, -31.872887, -647.012146, 107.136795
83.000000, -305.958221, -174.228241, 0.000000, 0.000000, 284.244537, -17.536446, -644.435913, 103.965004
84.000000, -247.297714, -187.620834, 0.000000, 0.000000, 284.990387, -27.947813, -647.810120, 94.261223
85.000000, -281.120483, -175.127762, 0.000000, 0.000000, 283.595825, -26.315437, -644.380127, 102.217186
86.000000, -280.274384, -177.313660, 0.000000, 0.000000, 281.063354, -29.738466, -637.806824, 98.283058
87.000000, -319.716309, -188.568283, 0.000000, 0.000000, 290.900879, -24.012657, -647.060669, 93.567543
88.000000, -290.206116, -162.896515, 0.000000, 0.000000, 293.476166, -45.044842, -657.619751, 110.355774
89.000000, -304.953461, -178.457458, 0.000000, 0.000000, 285.428955, -35.680569, -649.308167, 96.820274
90.000000, -283.669220, -210.066727, 0.000000, 0.000000, 288.306702, -37.145481, -654.696289, 101.759163
91.000000, -312.851837, -201.167908, 0.000000, 0.000000, 297.998352, -39.789936, -663.700439, 102.433212
92.000000, -321.298157, -180.746399, 0.000000, 0.000000, 286.053223, -46.377071, -645.677490, 88.829697
93.000000, -297.791473, -189.838638, 0.000000, 0.000000, 297.309906, -41.717831, -656.404053, 102.681419
94.000000, -270.665802, -196.977417, 0.000000, 0.000000, 294.505127, -34.971046, -659.223022, 101.787132
95.000000, -300.684875, -187.628479, 0.000000, 0.000000, 281.653839, -44.706589, -649.088623, 99.709396
96.000000, -291.340088, -179.050171, 0.000000, 0.000000, 304.364624, -20.549896, -666.370361, 103.991348
